code,name_en,name_km,kind,parent_id,latitude,longitude
01020917,Chumteav,ជំទាវ,village,010209,13.52553448,103.0196937
010210,Sambuor,សំបួរ,commune,0102,13.3918589,102.9291569
01021001,Chhnaeum Meas,ឆ្នើមមាស,village,010210,13.47883362,103.1779997
01021002,Sranal,ស្រណាល,village,010210,13.47613565,103.1798672
01021003,La,ឡ,village,010210,13.47345103,103.1835816
01021004,Ta Meaeng Pok,តាមែងពក,village,010210,13.47439482,103.1891157
01021005,Sambuor,សំបួរ,village,010210,13.46542325,103.1984183
01021006,Doun Loek,ដូនឡឹក,village,010210,13.45476151,103.2243553
01021007,Kbal Krabei,ក្បាលក្របី,village,010210,13.45117231,103.2280756
01021008,Srah Chhuk,ស្រះឈូក,village,010210,13.45210211,103.2317627
01021009,Srae Prey,ស្រែព្រៃ,village,010210,13.45123717,103.2373098
01021010,Chaek Angkar,ចែកអង្ករ,village,010210,13.42780228,103.2467149
01021011,Thma Dab,ថ្មដប់,village,010210,13.4159882,103.2375672
010211,Soea,សឿ,commune,0102,13.4381017,102.9435536
01021101,Ta Mau,តាម៉ៅ,village,010211,13.37059093,102.9302223
01021102,Ansam Chek,អន្សមចេក,village,010211,13.37206165,102.9277268
01021103,Tnaot,ត្នោត,village,010211,13.37578248,102.9307318
01021104,Buor,បួរ,village,010211,13.38351545,102.9325857
01021105,Bos Laok,បុស្សឡោក,village,010211,13.38903483,102.9345048
01021106,Soea,សឿ,village,010211,13.39466069,102.9284566
01021107,Boeng Touch,បឹងតូច,village,010211,13.39646043,102.9275181
01021108,Phlov Damrei Leu,ផ្លូវដំរីលើ,village,010211,13.40017827,102.9301541
01021109,Phlov Damrei Kraom,ផ្លូវដំរីក្រោម,village,010211,13.40463657,102.9327192
01021110,Ou Soea,អូរសឿ,village,010211,13.40109201,102.9413254
01021111,Kouk Samraong,គោកសំរោង,village,010211,13.38244986,102.9830223
010212,Srah Reang,ស្រះរាំង,commune,0102,13.4971872,103.0990343
01021201,Ta In Muoy,តាអ៊ិន១,village,010212,13.50241611,103.0519695
01021202,Ta In Pir,តាអ៊ិន២,village,010212,13.50369291,103.0569465
01021203,Krouch,ក្រូច,village,010212,13.50441367,103.0601548
01021204,Chamkar Chek,ចំការចេក,village,010212,13.50542365,103.06337
01021205,Srah Reang,ស្រះរាំង,village,010212,13.50334511,103.0715975
01021206,Ta Chan,តាចាន់,village,010212,13.50158021,103.0771532
01021207,Kouk Srok,គោកស្រុក,village,010212,13.50073303,103.0845487
01021208,Kouk Chrab,គោកច្រាប,village,010212,13.49899593,103.0937984
01021209,Kouk Krasang,គោកក្រសាំង,village,010212,13.50174922,103.0993182
010213,Ta Lam,តាឡំ,commune,0102,13.521751,103.1002536
01021301,Preah Srae,ព្រះស្រែ,village,010213,13.5184936,103.0437664
01021302,Ta Lam Kandal,តាឡំកណ្ដាល,village,010213,13.51945493,103.0511477
01021303,Ta Lam Chong,តាឡំចុង,village,010213,13.52419517,103.0786161
01021304,Boeng Khleang Lech,បឹងឃ្លាំងលិច,village,010213,13.51630692,103.1121341
01021305,Chong Kouk,ចុងគោក,village,010213,13.5216386,103.1000843
01021306,Boeng Khleang Kaeut,បឹងឃ្លាំងកើត,village,010213,13.51997752,103.1194947
01021307,Khla Kham Chhkae,ខ្លាខាំឆ្កែ,village,010213,13.51906485,103.14131
01021308,Boeng Veaeng,បឹងវែង,village,010213,13.49669569,103.1486873
0103,Phnum Srok,ភ្នំស្រុក,district,01,13.7428634,103.3385147
010301,Nam Tau,ណាំតៅ,commune,0103,13.8907976,103.3818345
01030101,Rongvean,រង្វាន,village,010301,13.78788303,103.421785
01030102,Thmei Khang Tboung,ថ្មីខាងត្បូង,village,010301,13.8166247,103.399004
